timestamp,equipmentName,frequencyHz,tensionN,passed,comment
1780272600000,ペフ用スライサー1号,69.1,164.8,True,
1780276200000,ペフ用スライサー2号,70.0,161.3,True,
1780359000000,ペフ用スライサー1号,67.5,153.8,True,
1780445400000,ペフ用スライサー1号,69.4,166.0,True,
1780449000000,ペフ用スライサー2号,70.2,162.1,True,
1780531800000,ペフ用スライサー1号,67.7,155.3,True,
1780618200000,ペフ用スライサー1号,68.6,161.2,True,
1780621800000,ペフ用スライサー2号,70.6,165.9,True,
1780877400000,ペフ用スライサー1号,68.5,161.5,True,
1780881000000,ペフ用スライサー2号,71.9,173.7,True,
1780963800000,ペフ用スライサー1号,68.2,158.8,True,
1781050200000,ペフ用スライサー1号,67.4,152.1,True,
1781053800000,ペフ用スライサー2号,71.9,173.7,True,
1781136600000,ペフ用スライサー1号,67.2,151.1,True,
1781223000000,ペフ用スライサー1号,67.7,153.4,True,
1781226600000,ペフ用スライサー2号,71.5,171.5,True,
1781482200000,ペフ用スライサー1号,67.4,154.2,True,
1781485800000,ペフ用スライサー2号,70.5,164.5,True,
1781568600000,ペフ用スライサー1号,69.5,168.2,True,
1781655000000,ペフ用スライサー1号,68.9,161.9,True,
1781658600000,ペフ用スライサー2号,71.6,172.5,True,
1781741400000,ペフ用スライサー1号,67.3,153.4,True,
1781827800000,ペフ用スライサー1号,67.3,151.2,True,
1781831400000,ペフ用スライサー2号,71.2,170.3,True,
1782087000000,ペフ用スライサー1号,67.9,155.6,True,刃交換後の初回測定
1782090600000,ペフ用スライサー2号,70.5,164.2,True,
1782173400000,ペフ用スライサー1号,67.3,153.3,True,
1782259800000,ペフ用スライサー1号,69.0,163.4,True,
1782263400000,ペフ用スライサー2号,69.8,159.9,True,
1782346200000,ペフ用スライサー1号,69.4,165.6,True,
1782432600000,ペフ用スライサー1号,67.5,154.9,True,
1782436200000,ペフ用スライサー2号,70.5,165.6,True,
1782691800000,ペフ用スライサー1号,67.3,151.6,True,
1782695400000,ペフ用スライサー2号,69.8,160.3,True,
1782778200000,ペフ用スライサー1号,67.2,150.4,True,
1782864600000,ペフ用スライサー1号,68.5,159.8,True,
1782868200000,ペフ用スライサー2号,70.8,168.0,True,
1782951000000,ペフ用スライサー1号,69.6,168.3,True,
1783037400000,ペフ用スライサー1号,66.9,150.2,True,
1783041000000,ペフ用スライサー2号,71.2,170.8,True,
1783296600000,ペフ用スライサー1号,70.2,170.2,True,
1783300200000,ペフ用スライサー2号,70.8,167.3,True,
1783383000000,ペフ用スライサー1号,68.9,163.7,True,
1783469400000,ペフ用スライサー1号,68.1,158.3,True,
1783473000000,ペフ用スライサー2号,70.9,166.9,True,
1783555800000,ペフ用スライサー1号,68.7,161.8,True,
1783642200000,ペフ用スライサー1号,68.2,156.6,True,
1783645800000,ペフ用スライサー2号,71.3,169.6,True,
1783901400000,ペフ用スライサー1号,67.2,150.5,True,
1783905000000,ペフ用スライサー2号,72.2,176.2,True,
1783987800000,ペフ用スライサー1号,69.2,165.7,True,
1784074200000,ペフ用スライサー1号,67.3,152.4,True,
1784077800000,ペフ用スライサー2号,70.7,165.0,True,
1784160600000,ペフ用スライサー1号,67.4,153.4,True,
1784247000000,ペフ用スライサー1号,67.8,154.8,True,
1784250600000,ペフ用スライサー2号,71.2,168.2,True,
1784506200000,ペフ用スライサー1号,69.6,167.0,True,
1784509800000,ペフ用スライサー2号,71.5,171.9,True,
1784592600000,ペフ用スライサー1号,69.0,162.2,True,
1784679000000,ペフ用スライサー1号,69.0,164.4,True,
1784682600000,ペフ用スライサー2号,70.8,165.2,True,
1784765400000,ペフ用スライサー1号,67.0,150.7,True,
